1974-01,164.1
1974-02,142.8
1974-03,157.9
1974-04,159.2
1974-05,162.2
1974-06,123.1
1974-07,130
1974-08,150.1
1974-09,169.4
1974-10,179.7
1974-11,182.1
1974-12,194.3
1975-01,161.4
1975-02,169.4
1975-03,168.8
1975-04,158.1
1975-05,158.5
1975-06,135.3
1975-07,149.3
1975-08,143.4
1975-09,142.2
1975-10,188.4
1975-11,166.2
1975-12,199.2
1976-01,182.7
1976-02,145.2
1976-03,182.1
1976-04,158.7
1976-05,141.6
1976-06,132.6
1976-07,139.6
1976-08,147
1976-09,166.6
1976-10,157
1976-11,180.4
1976-12,210.2
1977-01,159.8
1977-02,157.8
1977-03,168.2
1977-04,158.4
1977-05,152
1977-06,142.2
1977-07,137.2
1977-08,152.6
1977-09,166.8
1977-10,165.6
1977-11,198.6
1977-12,201.5
1978-01,170.7
1978-02,164.4
1978-03,179.7
1978-04,157
1978-05,168
1978-06,139.3
1978-07,138.6
1978-08,153.4
1978-09,138.9
1978-10,172.1
1978-11,198.4
1978-12,217.8
1979-01,173.7
1979-02,153.8
1979-03,175.6
1979-04,147.1
1979-05,160.3
1979-06,135.2
1979-07,148.8
1979-08,151
1979-09,148.2
1979-10,182.2
1979-11,189.2
1979-12,183.1
1980-01,170
1980-02,158.4
1980-03,176.1
1980-04,156.2
1980-05,153.2
1980-06,117.9
1980-07,149.8
1980-08,156.6
1980-09,166.7
1980-10,156.8
1980-11,158.6
1980-12,210.8
